#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","lastlogondate","operatingsystem"
"CLTLNCJHATLEY7","5/3/2019 11:09:15 AM","Windows 10 Pro"
"CLTLNCLSHOE","7/8/2018 8:36:08 AM","Windows 10 Pro"
"CLTLNCSHILLA","9/19/2016 6:09:23 AM","Windows 7 Professional"
"CLTLNCSHIP03","5/13/2019 9:07:11 AM","Windows 7 Professional"
"CLTLNCSHIP04","12/10/2015 8:13:04 AM","Windows 7 Professional"
"CLTLNCSYANG","1/5/2018 8:43:52 AM","Windows 10 Pro"
"CLTLNCWHPICKLNE","5/3/2018 11:09:41 AM","Windows 7 Professional"
"CLTLNSBENNICK","9/19/2018 3:25:05 PM","Windows 10 Pro"
"CLTLNCGTRENCK","10/26/2015 10:08:22 AM","Windows 7 Professional"
"CLTLNJNELSON","12/21/2018 1:53:37 PM","Windows 7 Professional"
"CLTLNCJS","1/9/2015 8:32:00 AM","Windows 7 Professional"
"CLTLNMTURNER","6/6/2018 10:46:32 AM","Windows 10 Pro"
"CLTLNCCDANA","7/6/2016 4:28:19 PM","Windows 7 Professional"
"CLTLNJHOUK","12/6/2018 8:48:59 AM","Windows 7 Professional"
"aris-macbook","11/12/2018 9:05:10 AM","Mac OS X"
"cltlncsdavis","1/4/2016 7:18:28 AM","Mac OS X"
"cltlnccjones","11/25/2015 12:35:33 PM","Mac OS X"
"cltlncmhlebasko","7/14/2015 5:18:22 PM","Mac OS X"
"cltlncrrussel","1/2/2018 7:33:07 AM","Mac OS X"
"cltlncbrowland","3/23/2018 11:04:54 AM","Mac OS X"
"cltlncndagostino","5/23/2017 9:11:34 AM","Mac OS X"
"cltlncmac_ted","3/12/2018 3:41:05 PM","Mac OS X"
"cltlncddanals","3/16/2017 8:05:34 AM","Mac OS X"
"CLTLNCLOANER01","2/24/2017 3:28:58 PM","Windows 7 Professional"
"CLTLNCNLABEL","5/11/2019 3:58:52 PM","Windows 7 Professional"
"CLTLN1","1/15/2015 8:33:46 AM","Windows 7 Professional"
"CLTLNEPREVETTE","4/10/2018 7:45:17 AM","Windows 10 Pro"
"CLTLNC-CLIENT1","5/30/2016 7:59:12 PM","Windows XP Professional"
"CLTLNC-CLIENT2","7/7/2016 3:26:53 PM","Windows XP Professional"
"CLTLNC-TESTWEB","11/15/2015 6:07:34 PM","Windows XP Professional"
"CLTLNCOZSRV","5/11/2019 3:51:03 AM","Windows 7 Professional"
"CLTLNCREN01","12/1/2018 3:00:27 PM","Windows XP Professional"
"CLTLNCREN02","12/1/2018 3:18:53 AM","Windows XP Professional"
"CLTLNCREN03","12/6/2018 6:50:57 AM","Windows XP Professional"
"CLTLNCREN04","12/3/2018 3:52:35 PM","Windows XP Professional"
"CLTLNCREN05","12/8/2018 6:03:51 AM","Windows XP Professional"
"CLTLNCFEDEXSRV","6/8/2016 8:29:31 AM","Windows XP Professional"
"CLTLNCSHIP05","5/16/2019 6:51:52 AM","Windows 7 Professional"
"CLTLNCSHIP06","3/8/2016 9:57:21 AM","Windows 7 Professional"
"LNCVMHOST1","2/4/2017 8:55:11 AM","unknown"
"LNCVMHOST2","5/17/2019 1:15:16 AM","unknown"
"CLTLNCMLUBRESKY","11/14/2016 11:14:06 AM","Windows 7 Professional"
"CLTLNPBURGESS","3/22/2016 2:46:31 PM","Windows 7 Professional"
"CLTLNENT2","3/11/2015 9:52:11 AM","Windows 8.1 Enterprise"
"CLTLNCJSTRIZZI","3/26/2019 8:46:15 AM","Windows 10 Pro"
"LN-HP","1/19/2015 12:06:19 PM","Windows 7 Professional"
"CLTLNTJONES","6/21/2016 7:51:02 AM","Windows 7 Professional"
"CLTLNMKIRCH","12/16/2018 6:35:02 PM","Windows 10 Pro"
"CLTLNHHITCHCOCK","9/16/2016 10:51:14 AM","Windows 7 Enterprise"
"cltlnmhitch","4/25/2016 10:46:47 AM","Mac OS X"
"CLTLNRGEMERETH1","3/31/2016 2:58:13 PM","Windows 7 Enterprise"
"CLTLNCCORRIHER","2/15/2019 8:46:23 AM","Windows 10 Pro"
"CLTLNKFINNEY","1/6/2017 1:00:00 PM","Windows 10 Pro"
"LN-PCSP2","4/14/2015 9:08:57 AM","Windows 7 Professional"
"CLTLNKEREKES","5/2/2016 6:42:15 AM","Windows 7 Enterprise"
"LNC-PCSP1","8/30/2015 8:24:32 AM","Windows 7 Professional"
"CLTLNJLAPSLEY","3/19/2018 4:22:45 PM","Windows 7 Professional"
"CLTLNTFUNESTI","9/20/2018 2:52:36 AM","Windows 10 Pro"
"CLTLNGHOST","10/28/2016 3:31:40 PM","Windows 7 Professional"
"CLTLNDOLSON","5/10/2019 8:12:35 AM","Windows 7 Professional"
"CLTLNSPARE01","10/26/2015 5:17:15 PM","Windows 7 Professional"
"CLTLNJGRASSMANN","1/18/2016 8:37:23 AM","Windows 7 Professional"
"CLTLNMUNTEREKER","10/15/2018 8:53:59 AM","Windows 10 Pro"
"cltlnmacsrv","7/15/2015 8:15:15 AM","Mac OS X"
"CLTLNWDUKE","5/9/2019 7:32:32 AM","Windows 10 Pro"
"LN-OLD1","8/7/2015 2:41:58 PM","Windows 7 Professional"
"LN-VOSTRO3750","7/28/2015 5:08:56 PM","Windows 7 Professional"
"CLTLNCDOLSON","4/30/2019 1:58:07 PM","Windows 7 Professional"
"CLTLNBJOHNSON","2/19/2019 7:41:53 AM","Windows 10 Pro"
"CLTLNSMCDANIEL","8/8/2016 9:14:19 AM","Windows 7 Professional"
"CLTLNCSHIP01","5/9/2019 7:45:24 AM","Windows 7 Professional"
"LN-OLD3","6/10/2016 9:31:14 AM","Windows 7 Professional"
"CLTLNLHAIGLER","2/19/2019 10:19:55 AM","Windows 10 Pro"
"CLTLNGADAMS","4/12/2019 12:47:49 PM","Windows 10 Pro"
"cltlnteller","5/31/2016 8:31:33 AM","Mac OS X"
"CLTLNDMIRRIMAN","5/4/2016 11:36:51 AM","Windows 7 Professional"
"cltlnjdombrowsk","3/3/2018 10:12:41 PM","Mac OS X"
"CLTLNMLUBRESKY","5/16/2019 9:06:06 AM","Windows 10 Pro"
"CLTLNGTRENCK","3/7/2019 7:49:37 AM","Windows 10 Pro"
"CLTLNASTEVENS","2/19/2019 2:43:24 PM","Windows 10 Pro"
"CLTLNCMGEAR","5/9/2019 9:59:19 PM","Windows 10 Pro"
"CLTLN-TIME01","5/12/2019 8:29:00 PM","Windows 7 Professional"
"CLTLNIE8","5/10/2019 8:37:24 PM","Windows 7 Professional"
"CLTLNDBRASSEUR","5/13/2019 9:11:21 AM","Windows 10 Pro"
"CLTLNKTAYLOR","5/13/2019 8:06:01 AM","Windows 10 Pro"
"CLTLNCOMBOLABEL","5/17/2017 9:08:20 AM","Windows 7 Professional"
"CLTLNCRALBASHIR","4/28/2016 8:31:55 AM","Windows 7 Professional"
"CLTRALBASHIR","11/1/2016 7:46:16 AM","Windows 7 Professional"
"CLTLNDFOX","5/13/2019 8:22:50 AM","Windows 7 Professional"
"CLTLNCJONEAL","5/13/2019 8:27:17 AM","Windows 10 Pro"
"CLTLNCTBICKFORD","5/13/2019 8:30:50 AM","Windows 10 Pro"
"CAKSHIRLEY","8/30/2018 12:48:48 PM","Windows 7 Professional"
"CLTLNSHIPPING04","1/10/2019 8:26:38 AM","Windows 7 Professional"
"CLTLNCJBRUNS","5/6/2019 7:58:24 AM","Windows 10 Pro"
"NEWDESKTOP","5/12/2017 11:38:02 PM","Windows 7 Professional"
"NC-LOBBY","11/10/2018 11:12:19 PM","Windows 10 Pro"
"CLTLNCMSWERTS","7/25/2016 7:24:43 AM","Windows 7 Professional"
"CLTLNAMILLER","5/18/2018 2:54:59 PM","Windows 8.1 Pro"
"CLTLNCELROD","5/17/2019 9:07:31 AM","Windows 7 Enterprise"
"CLTLNCJGRASSMAN","5/13/2019 8:45:23 AM","Windows 10 Pro"
"CLTLNCMASHBA","6/22/2016 2:30:25 PM","Windows 7 Professional"
"CLTLNVLC","5/25/2016 12:59:10 PM","Windows 7 Professional"
"CLTLNDMERRIMAN","1/19/2018 9:24:41 AM","Windows 10 Pro"
"CLTLNCLAPTOP2","1/3/2019 3:49:52 PM","Windows 10 Pro"
"CLTLNPLOTTER","4/20/2017 11:57:43 AM","Windows 7 Professional"
"RIPSERVER","5/18/2017 9:01:07 AM","Windows 7 Professional"
"CLTLNCLT","2/15/2016 6:55:31 AM","Windows 7 Enterprise"
"CLTLNABLACK","9/19/2016 7:58:57 AM","Windows 10 Pro"
"CLTLNMPHILLIPS","5/15/2019 12:56:04 PM","Windows 10 Pro"
"CLTLNLOANER-01","12/8/2016 6:59:14 AM","Windows 7 Professional"
"CLTLNJHAHNE","1/14/2019 2:06:57 PM","Windows 10 Pro"
"LNSFRALBASHIR","5/12/2019 6:12:34 PM","Windows 10 Pro"
"LNSFGEMERETH","2/20/2018 7:31:27 AM","Windows 10 Pro"
"CLTLNAWILSON","11/10/2016 9:25:44 AM","Windows 7 Professional"
"CLTLNANICOLAI","5/16/2019 11:27:13 AM","Windows 10 Pro"
"cltlnmactemp","4/27/2016 3:00:22 PM","Mac OS X"
"CLTLNLT-01","4/12/2016 12:54:43 PM","Windows 7 Professional"
"CLTLNSJORDAN","6/24/2016 12:11:09 PM","Windows 7 Professional"
"CLTLNLOANER-02","8/15/2016 8:22:01 AM","Windows 10 Pro"
"cltlnckfmac","4/11/2018 8:22:34 AM","Mac OS X"
"CLTLNADIPALMA","5/13/2019 8:53:49 AM","Windows 10 Pro"
"cltlnsdavist","2/26/2018 2:50:37 PM","Mac OS X"
"CLTLNRALBASHIR","5/3/2016 2:04:34 PM","Windows 7 Professional"
"CLTLNPROOM","5/16/2019 12:49:26 PM","Windows 7 Professional"
"CLTLNMKENTFIELD","5/17/2019 9:58:47 AM","Windows 10 Pro"
"LNSHHITCHCOCK","2/6/2018 7:07:50 AM","Windows 10 Pro"
